" ","score","status","future"
"Index",68.48,,68.26
"Food Provision",3.27,3,3.55
". Fisheries",3.27,3,3.55
". Mariculture",98.94,97.87,100
"Artisanal Fishing Opportunity",59.27,54.73,63.81
"Natural Products",27.14,25.08,29.21
"Carbon Storage",85.79,99.51,72.07
"Coastal Protection",96.1,92.21,100
"Tourism & Recreation",100,100,100
"Coastal Livelihoods & Economies",100,100,100
". Livelihoods",100,100,100
". Economies",100,100,100
"Sense of Place",57.54,56.11,58.96
". Iconic Species",61.11,62.22,59.99
". Lasting Special Places",53.97,50,57.93
"Clean Waters",64.79,65.48,64.11
"Biodiversity",90.88,90.88,90.87
". Habitats",95.07,95.91,94.23
". Species",86.68,85.86,87.51
