"sector","year","value","cntry_key"
"aqf",1997,490000,"Aruba"
"aqf",1998,249978.609625591,"Aruba"
"aqf",1999,352321.116928389,"Aruba"
"aqf",2000,332124.894514761,"Aruba"
"aqf",2001,129379.516928532,"Aruba"
"aqf",2002,145809.538863967,"Aruba"
"aqf",2003,2817816.08921013,"Aruba"
"aqf",2004,3555269.8938281,"Aruba"
"aqf",2005,3300606.82470094,"Aruba"
"aqf",2006,3596368.88165046,"Aruba"
"aqf",2007,4191581.3310709,"Aruba"
"aqf",2008,3555420.42280957,"Aruba"
"aqf",2009,5997313.04076854,"Aruba"
"cf",1997,34977097.8276608,"Aruba"
"cf",2002,3379619246.7714,"Aruba"
"cf",2007,3026921894.35231,"Aruba"
"mar",1996,14262,"Aruba"
"mar",1997,612102283.102399,"Aruba"
"mar",2001,721891.749999998,"Aruba"
"mar",2002,636555164.375774,"Aruba"
"mar",2003,5650674.5,"Aruba"
"mar",2004,2660921.73833333,"Aruba"
"mar",2005,16572261.779,"Aruba"
"mar",2006,138169844.351982,"Aruba"
"mar",2007,845511233.696196,"Aruba"
"mar",2008,778822054.087042,"Aruba"
"mar",2009,835615934.445349,"Aruba"
"mar",2010,872531310.770155,"Aruba"
"mar",2011,249779253.283235,"Aruba"
"mmw",1998,10027860.4626316,"Aruba"
"mmw",2003,182518228.7,"Aruba"
"mmw",2004,38032600.105,"Aruba"
"mmw",2005,1621771.08833333,"Aruba"
"mmw",2006,15689061.5905882,"Aruba"
"mmw",2007,975813.01,"Aruba"
"mmw",2008,18844454.487234,"Aruba"
"og",2004,4089959212.2432,"Aruba"
"og",2005,5529036263.33445,"Aruba"
"og",2006,6153756163.5932,"Aruba"
"og",2007,6247655497.26719,"Aruba"
"og",2008,8368717954.476,"Aruba"
"og",2009,5328520123.57955,"Aruba"
"tour",2005,5170084915.29157,"Aruba"
"tour",2006,5742186242.965,"Aruba"
"tour",2007,9070760092.99646,"Aruba"
"tour",2008,8926876148.28701,"Aruba"
"tour",2009,8635997197.88311,"Aruba"
"tour",2010,8667360105.70978,"Aruba"
"tour",2011,38470102739.726,"Aruba"
"tour",2012,39609520547.9452,"Aruba"
"wte",2001,2706659.586036,"Aruba"
"wte",2002,2343070.646672,"Aruba"
"wte",2003,25139399.060146,"Aruba"
"wte",2004,25944414.872936,"Aruba"
"wte",2005,26015648.982428,"Aruba"
"wte",2006,24693603.082848,"Aruba"
"wte",2007,50487621.4584,"Aruba"
"wte",2008,51518297.86516,"Aruba"
