"year","percent","cntry_key"
1990,9.4988226742,"Aruba"
1993,1.50000015000001,"Aruba"
1994,18.8284658203,"Aruba"
1995,7.83169103608,"Aruba"
1996,8.08444172541429,"Aruba"
1997,8.81037871953333,"Aruba"
1998,9.56590707622062,"Aruba"
1999,8.2059893563579,"Aruba"
2000,8.85369847291481,"Aruba"
2001,7.62031166962667,"Aruba"
2002,8.84308942418372,"Aruba"
2003,9.17906705186762,"Aruba"
2004,9.08286543725189,"Aruba"
2005,8.81289066135951,"Aruba"
2006,8.55778389515786,"Aruba"
2007,8.06515339333694,"Aruba"
2008,8.23510632973176,"Aruba"
2009,8.8185651254625,"Aruba"
2010,8.59120077369028,"Aruba"
