"goal","dimension","region_id","score"
"AO","future",0,63.81
"AO","future",1,63.81
"AO","pressures",1,15.22
"AO","resilience",1,70.75
"AO","score",0,59.27
"AO","score",1,59.27
"AO","status",0,54.73
"AO","status",1,54.73
"AO","trend",1,-0.03
"BD","future",0,90.87
"BD","future",1,90.87
"BD","pressures",1,
"BD","resilience",1,
"BD","score",0,90.88
"BD","score",1,90.88
"BD","status",0,90.88
"BD","status",1,90.88
"BD","trend",1,-0.24
"CP","future",0,100
"CP","future",1,100
"CP","pressures",1,30.23
"CP","resilience",1,64.79
"CP","score",0,96.1
"CP","score",1,96.1
"CP","status",0,92.21
"CP","status",1,92.21
"CP","trend",1,0.03
"CS","future",0,72.07
"CS","future",1,72.07
"CS","pressures",1,23.69
"CS","resilience",1,64.79
"CS","score",0,85.79
"CS","score",1,85.79
"CS","status",0,99.51
"CS","status",1,99.51
"CS","trend",1,-0.61
"CW","future",0,64.11
"CW","future",1,64.11
"CW","pressures",1,62.27
"CW","resilience",1,79.12
"CW","score",0,64.79
"CW","score",1,64.79
"CW","status",0,65.48
"CW","status",1,65.48
"CW","trend",1,-0.11
"ECO","future",0,100
"ECO","future",1,100
"ECO","pressures",1,18.32
"ECO","resilience",1,65.98
"ECO","score",0,100
"ECO","score",1,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","trend",1,1
"FIS","future",0,3.55
"FIS","future",1,3.55
"FIS","pressures",1,14.8
"FIS","resilience",1,70.28
"FIS","score",0,3.27
"FIS","score",1,3.27
"FIS","status",0,3
"FIS","status",1,3
"FIS","trend",1,0
"FP","future",0,3.55
"FP","future",1,3.55
"FP","pressures",1,
"FP","resilience",1,
"FP","score",0,3.27
"FP","score",1,3.27
"FP","status",0,3
"FP","status",1,3
"FP","trend",1,0
"HAB","future",0,94.23
"HAB","future",1,94.23
"HAB","pressures",1,20.91
"HAB","resilience",1,74.62
"HAB","score",0,95.07
"HAB","score",1,95.07
"HAB","status",0,95.91
"HAB","status",1,95.91
"HAB","trend",1,-0.29
"ICO","future",0,59.99
"ICO","future",1,59.99
"ICO","pressures",1,22.91
"ICO","resilience",1,70.04
"ICO","score",0,61.11
"ICO","score",1,61.11
"ICO","status",0,62.22
"ICO","status",1,62.22
"ICO","trend",1,-0.29
"Index","future",0,68.26
"Index","future",1,68.26
"Index","score",0,68.48
"Index","score",1,68.48
"LE","future",0,100
"LE","future",1,100
"LE","pressures",1,
"LE","resilience",1,
"LE","score",0,100
"LE","score",1,100
"LE","status",0,100
"LE","status",1,100
"LE","trend",1,0.78
"LIV","future",0,100
"LIV","future",1,100
"LIV","pressures",1,19.35
"LIV","resilience",1,43.98
"LIV","score",0,100
"LIV","score",1,100
"LIV","status",0,100
"LIV","status",1,100
"LIV","trend",1,0.56
"LSP","future",0,57.93
"LSP","future",1,57.93
"LSP","pressures",1,30.25
"LSP","resilience",1,78.32
"LSP","score",0,53.97
"LSP","score",1,53.97
"LSP","status",0,50
"LSP","status",1,50
"LSP","trend",1,0
"MAR","future",0,100
"MAR","future",1,100
"MAR","pressures",1,15.59
"MAR","resilience",1,69.72
"MAR","score",0,98.94
"MAR","score",1,98.94
"MAR","status",0,97.87
"MAR","status",1,97.87
"MAR","trend",1,0.25
"NP","future",0,29.21
"NP","future",1,29.21
"NP","pressures",1,16.89
"NP","resilience",1,69.32
"NP","score",0,27.14
"NP","score",1,27.14
"NP","status",0,25.08
"NP","status",1,25.08
"NP","trend",1,-0.01
"SP","future",0,58.96
"SP","future",1,58.96
"SP","pressures",1,
"SP","resilience",1,
"SP","score",0,57.54
"SP","score",1,57.54
"SP","status",0,56.11
"SP","status",1,56.11
"SP","trend",1,-0.14
"SPP","future",0,87.51
"SPP","future",1,87.51
"SPP","pressures",1,21.48
"SPP","resilience",1,63.74
"SPP","score",0,86.68
"SPP","score",1,86.68
"SPP","status",0,85.86
"SPP","status",1,85.86
"SPP","trend",1,-0.18
"TR","future",0,100
"TR","future",1,100
"TR","pressures",1,45.44
"TR","resilience",1,79.12
"TR","score",0,100
"TR","score",1,100
"TR","status",0,100
"TR","status",1,100
"TR","trend",1,0.21
